date,system_temperature,tds,ext_temperature,weather_windDirection,weather_windSpeed,weather_rainfall,ext_humidity,lidar_value,lidar_temperature,Niveau N.G.T,Densité,MORET 2,MORET 3,MORET 4,MORET 5
2024-08-04 21:00:00,46.366666666666674,324.996923418288,28.266666666666666,N,0.3066666666666666,0.0,85.46666666666665,268.0,58.0,,,,,,
2024-08-04 22:00:00,45.95000000000001,335.4809331442507,28.166666666666668,N,4.0,0.0,85.41666666666667,267.5833333333333,57.91666666666666,,,,,,
2024-08-04 23:00:00,45.38333333333333,336.1959676904053,27.866666666666664,N,1.893333333333333,0.0,87.81666666666666,268.8333333333333,57.0,,,,,,
2024-08-05 00:00:00,45.71666666666667,336.32645232053864,27.71666666666667,N,2.733333333333333,0.0,84.98333333333333,269.8333333333333,57.0,,,,,,
2024-08-05 01:00:00,45.56666666666666,330.4934839141867,27.633333333333336,N,1.8666666666666665,0.0,82.56666666666666,270.1666666666667,57.0,,,,,,
2024-08-05 02:00:00,45.15,332.1176055977547,27.33333333333333,N,0.36,0.0,85.85000000000001,270.5,57.0,,,,,,
2024-08-05 03:00:00,45.16666666666666,333.86942479373334,27.2,N,0.0,0.0,84.64999999999999,267.4166666666667,57.0,,,,,,
2024-08-05 04:00:00,44.9,333.201385919504,27.15,N,0.0,0.0,82.7,270.75,57.16666666666666,,,,,,
2024-08-05 05:00:00,47.35,332.53764958623464,27.83333333333333,N,0.0,0.0,80.68333333333334,274.5,60.375,,,,,,
2024-08-05 06:00:00,50.35,322.97072419937064,28.71666666666667,NE,0.0,0.0,78.48333333333333,274.5833333333333,64.04166666666667,,,,,,
2024-08-05 07:00:00,51.833333333333336,320.237083979792,29.183333333333334,N,0.0,0.0,74.8,274.8333333333333,65.66666666666667,,,,,,
2024-08-05 08:00:00,53.75,316.80281972909864,29.73333333333333,N,0.0,0.0,74.60000000000001,273.5,66.0,,,,,,
2024-08-05 09:00:00,54.25,321.92234825760005,29.816666666666663,NE,0.2133333333333333,0.0,75.11666666666666,271.6666666666667,66.0,,,,,,
2024-08-05 10:00:00,55.083333333333336,314.85742319888,30.133333333333336,N,0.3333333333333333,0.0,71.93333333333334,270.4166666666667,65.875,,,,,,
